id;descripcion;codigo_telefono;timezone;dst;estado
197;San Bartolomé;590;UTC-04:00;;1
198;Santa Elena;290;UTC+00:00;;1
199;San Cristobal y Nieves;+1 869;UTC-04:00;;1
200;Santa Lucía;+1 758;UTC-04:00;;1
201;San Martín;590;UTC-04:00;;1
202;San Pedro y Miquelón;508;UTC-03:00;UTC-02:00;1
203;San Vicente y las Granadinas;+1 784;UTC-04:00;;1
204;Samoa;685;UTC+13:00;UTC+14:00;1
205;San Marino;378;UTC+01:00;UTC+02:00;1
206;Santo Tomé y Príncipe;239;UTC+01:00;;1
207;Arabia Saudita;966;UTC+03:00;;1
208;Senegal;221;UTC+00:00;;1
209;Serbia;381;UTC+01:00;UTC+02:00;1
210;Seychelles;248;UTC+04:00;;1
211;Sierra Leona;232;UTC+00:00;;1
212;Singapur;65;UTC+08:00;;1
213;San Eustaquio;+599 3;UTC-04:00;;1
214;Sint Maarten;+1 721;UTC-04:00;;1
215;Eslovaquia;421;UTC+01:00;UTC+02:00;1
216;Eslovenia;386;UTC+01:00;UTC+02:00;1
217;Islas Salomón;677;UTC+11:00;;1
218;Somalia;252;UTC+03:00;;1
219;Sudáfrica;27;UTC+02:00;;1
220;Islas Georgias del Sur y Sandwich del Sur;500;UTC-02:00;;1
221;Osetia del Sur;+995 34;UTC+03:00;;1
222;Sudán del Sur;211;UTC+03:00;;1
223;España;34;UTC+01:00;UTC+02:00;1
224;Sri Lanka;94;UTC+05:30;;1
225;Sudán;249;UTC+02:00;;1
226;Surinam;597;UTC-03:00;;1
227;Svalbard;+47 79;UTC+01:00;UTC+02:00;1
228;Suazilandia;268;UTC+02:00;;1
229;Suecia;46;UTC+01:00;UTC+02:00;1
230;Suiza;41;UTC+01:00;UTC+02:00;1
231;Siria;963;UTC+02:00;UTC+03:00;1
232;Taiwán;886;UTC+08:00;;1
233;Tayikistán;992;UTC+05:00;;1
234;Tanzania;255;UTC+03:00;;1
235;Tailandia;66;UTC+07:00;;1
236;Togo;228;UTC+00:00;;1
237;Tokelau;690;UTC+13:00;;1
238;Tonga;676;UTC+13:00;;1
239;Transnistria;+373 2, +373 5;UTC+02:00;UTC+03:00;1
240;Trinidad y Tobago;+1 868;UTC-04:00;;1
241;Tristán de Acuña;+290 8;UTC+00:00;;1
242;Túnez;216;UTC+01:00;;1
243;Turquía;90;UTC+03:00;;1
244;Turkmenistán;993;UTC+05:00;;1
245;Islas Turcas y Caicos;+1 649;UTC-04:00;;1
246;Tuvalu;688;UTC+12:00;;1
247;Uganda;256;UTC+03:00;;1
248;Ucrania;380;UTC+02:00;UTC+03:00;1
249;Emiratos Árabes Unidos;971;UTC+04:00;;1
250;Reino Unido;44;UTC+00:00;UTC+01:00;1
251;Estados Unidos;1;UTC-10:00 to -05:00;UTC-10:00 to -04:00;1
252;Uruguay;598;UTC-03:00;No DST since June 2015;1
253;Islas Vírgenes de los Estados Unidos;+1 340;UTC-04:00;;1
254;Uzbekistán;998;UTC+05:00;;1
255;Vanuatu;678;UTC+11:00;;1
256;Venezuela;58;UTC-04:00;;1
257;Ciudad del Vaticano;+39 06 698, assigned +379;UTC+01:00;UTC+02:00;1
258;Vietnam;84;UTC+07:00;;1
259;Isla Wake;+1 808;UTC+12:00;;1
260;Wallis y Futuna;681;UTC+12:00;;1
261;Yemen;967;UTC+03:00;;1
262;Zambia;260;UTC+02:00;;1
263;Zanzíbar ;+255 24;UTC+03:00;;1
264;Zimbabue;263;UTC+02:00;;1
