id;descripcion;estado
238;Asia/Hebron;1
239;Asia/Ho_Chi_Minh;1
240;Asia/Hong_Kong;1
241;Asia/Hovd;1
242;Asia/Irkutsk;1
243;Asia/Jakarta;1
244;Asia/Jayapura;1
245;Asia/Jerusalem;1
246;Asia/Kabul;1
247;Asia/Kamchatka;1
248;Asia/Karachi;1
249;Asia/Kathmandu;1
250;Asia/Khandyga;1
251;Asia/Kolkata;1
252;Asia/Krasnoyarsk;1
253;Asia/Kuala_Lumpur;1
254;Asia/Kuching;1
255;Asia/Kuwait;1
256;Asia/Macau;1
257;Asia/Magadan;1
258;Asia/Makassar;1
259;Asia/Manila;1
260;Asia/Muscat;1
261;Asia/Nicosia;1
262;Asia/Novokuznetsk;1
263;Asia/Novosibirsk;1
264;Asia/Omsk;1
265;Asia/Oral;1
266;Asia/Phnom_Penh;1
267;Asia/Pontianak;1
268;Asia/Pyongyang;1
269;Asia/Qatar;1
270;Asia/Qyzylorda;1
271;Asia/Riyadh;1
272;Asia/Sakhalin;1
273;Asia/Samarkand;1
274;Asia/Seoul;1
275;Asia/Shanghai;1
276;Asia/Singapore;1
277;Asia/Srednekolymsk;1
278;Asia/Taipei;1
279;Asia/Tashkent;1
280;Asia/Tbilisi;1
281;Asia/Tehran;1
282;Asia/Thimphu;1
283;Asia/Tokyo;1
284;Asia/Tomsk;1
285;Asia/Ulaanbaatar;1
286;Asia/Urumqi;1
287;Asia/Ust-Nera;1
288;Asia/Vientiane;1
289;Asia/Vladivostok;1
290;Asia/Yakutsk;1
291;Asia/Yangon;1
292;Asia/Yekaterinburg;1
293;Asia/Yerevan;1
294;Atlantic/Azores;1
295;Atlantic/Bermuda;1
296;Atlantic/Canary;1
297;Atlantic/Cape_Verde;1
298;Atlantic/Faroe;1
299;Atlantic/Madeira;1
300;Atlantic/Reykjavik;1
301;Atlantic/South_Georgia;1
302;Atlantic/St_Helena;1
303;Atlantic/Stanley;1
304;Australia/Adelaide;1
305;Australia/Brisbane;1
306;Australia/Broken_Hill;1
307;Australia/Currie;1
308;Australia/Darwin;1
